username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LiveNationVB;2017-06-08 15:00;1;1;"Young the Giant is coming to Sprint Pavilion in Charlottesville on September 19! Get more info here: http://bit.ly/2r0CUvz pic.twitter.com/7WLtmVCkGE";;;;"872891029694930950";https://twitter.com/LiveNationVB/status/872891029694930950
Generations1023;2017-06-07 08:30;0;0;"Joan Baez, Mary Chapin-Carpenter and the Indigo Girls put on a GREAT show last night at the Sprint Pavilion! http://fb.me/39Hd2Vji4";;;;"872430645758308352";https://twitter.com/Generations1023/status/872430645758308352
RMHofCville;2017-06-06 19:50;0;1;"Awesome volunteers selling water & soda at the Four Voices concert @ SprintPavilion for the House. # KeepingFamiliesClosepic.twitter.com/AYP4tDdINt";;@;#;"872239287399591936";https://twitter.com/RMHofCville/status/872239287399591936
aronski;2017-06-06 10:55;0;0;"Early (@Sprint Pavilion - @ cvillepavilion in Charlottesville, VA)https://www.swarmapp.com/c/2i27q0WibxB";;@Sprint @;;"872104604175151104";https://twitter.com/aronski/status/872104604175151104
cvillepulse;2017-06-05 16:00;2;3;". @ Indigo_Girls’ Amy Ray craves creative combinations: http://bit.ly/2qG8dLj  (cc: @ SprintPavilion) pic.twitter.com/FAiRGdlNYn";;@ @;;"871818923582337024";https://twitter.com/cvillepulse/status/871818923582337024
cvillepulse;2017-06-05 13:15;4;3;"Full schedule for Fridays After Five announced: http://bit.ly/2qYj6In  (cc: @ SprintPavilion) pic.twitter.com/m4Rt2BOGn9";;@;;"871777390036488192";https://twitter.com/cvillepulse/status/871777390036488192
SprintPavilion;2017-06-05 10:20;0;0;"The lineup for the second half of Fridays After Five is here! Full schedule at http://sprintpavilion.com pic.twitter.com/6r9BzUGn4F";;;;"871733420619182080";https://twitter.com/SprintPavilion/status/871733420619182080
WCNRTheCorner;2017-06-02 18:47;0;0;"They're headlining # FridaysAfterFive @ sprintpavilion right now...here's @ JonSpearBand's # CornerLounge from 5/31!https://shar.es/1RJI4B";;@ @;# #;"870773865244495872";https://twitter.com/WCNRTheCorner/status/870773865244495872
cvillepulse;2017-06-02 09:30;2;2;". @ joancbaez, Mary Chapin Carpenter and the @ Indigo_Girls team up for a @ SprintPavilion show. http://bit.ly/2qG8dLj";;@ @ @;;"870633602840768512";https://twitter.com/cvillepulse/status/870633602840768512
LiveNationVB;2017-06-01 15:00;0;0;"@ youngthegiant is coming to @ SprintPavilion in Charlottesville on September 19! Get more info here: http://bit.ly/2steueD pic.twitter.com/PMd4KOol0e";;@ @;;"870354327143055360";https://twitter.com/LiveNationVB/status/870354327143055360
ReeeemixHQ;2017-06-01 08:59;0;0;"http://ift.tt/2rf3Ryf  Four Voices Concert at Sprint Pavilion, Tue June 6, 2017";;;;"870263558361272320";https://twitter.com/ReeeemixHQ/status/870263558361272320
CVaPartnership;2017-05-30 11:39;0;1;"Charlottesville kicksoff 30th year of Friday after Five! Catch some of your favorite tunes free and live each Friday! @ SprintPavilion pic.twitter.com/eTlWDFTgyh";;@;;"869579004738756608";https://twitter.com/CVaPartnership/status/869579004738756608
