username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cvillenews_desk;2017-01-26 17:26;0;0;"Traffic leaving downtown on McIntire Road is backed up to county office building. # cville";;;#;"824745448996999169";https://twitter.com/cvillenews_desk/status/824745448996999169
CvilleDowntown;2017-01-25 20:13;0;0;"http://fb.me/5Ghl29AKO";;;;"824425005064814592";https://twitter.com/CvilleDowntown/status/824425005064814592
CvilleDowntown;2017-01-24 17:39;0;0;"Exciting news.....Silver Dollar Bar area is open for business!!!";;;;"824023860416749568";https://twitter.com/CvilleDowntown/status/824023860416749568
CvilleDowntown;2017-01-24 10:49;0;0;"http://fb.me/1c6jVTKQ2";;;;"823920630227615744";https://twitter.com/CvilleDowntown/status/823920630227615744
CvilleDowntown;2017-01-24 10:26;0;0;"http://fb.me/uflWnK79";;;;"823914837700771841";https://twitter.com/CvilleDowntown/status/823914837700771841
CvilleDowntown;2017-01-23 21:35;0;1;"I love this town!!! Other business owners, friends and family canme out to build a wall between the wrecked... http://fb.me/ZlhCg9iR";;;;"823720843054288896";https://twitter.com/CvilleDowntown/status/823720843054288896
CvilleDowntown;2017-01-23 12:25;0;0;"Silver Dollar from the inside.";;;;"823582336184766464";https://twitter.com/CvilleDowntown/status/823582336184766464
CvilleDowntown;2017-01-23 12:20;0;0;"Devastation for Silver Dollar Cafe! http://fb.me/8DvHGa9Hf";;;;"823581090552025088";https://twitter.com/CvilleDowntown/status/823581090552025088
CvilleDowntown;2017-01-22 17:39;0;0;"http://fb.me/7OrPKk6a9";;;;"823299154566905856";https://twitter.com/CvilleDowntown/status/823299154566905856
CvilleDowntown;2017-01-20 17:49;0;0;"http://fb.me/tX7psAtO";;;;"822576893111181315";https://twitter.com/CvilleDowntown/status/822576893111181315
JerryMillerNow;2017-01-20 15:17;0;0;"The Miller Organization purchased more Downtown # CVille real estate. # iLoveCVille # UVa # RVAhttp://ilovecvillerealestate.com/the-miller-organization-purchases-downtown-real-estate-expands-its-commercial-portfolio-in-charlottesville/ … – bei Charlottesville Historic Downtown Mall";;;# # # #;"822538651984859136";https://twitter.com/JerryMillerNow/status/822538651984859136
CvilleDowntown;2017-01-19 16:38;0;0;"http://fb.me/1uA9DX0TP";;;;"822196473844502531";https://twitter.com/CvilleDowntown/status/822196473844502531
CvilleDowntown;2017-01-19 16:34;0;0;"http://fb.me/1fru3HSsU";;;;"822195665560178688";https://twitter.com/CvilleDowntown/status/822195665560178688
CvilleDowntown;2017-01-19 16:30;0;0;"http://fb.me/6g2htSf9D";;;;"822194477204783104";https://twitter.com/CvilleDowntown/status/822194477204783104
CvilleDowntown;2017-01-19 16:28;0;0;"http://fb.me/5FSFWkoO6";;;;"822194110727495680";https://twitter.com/CvilleDowntown/status/822194110727495680
CvilleDowntown;2017-01-19 16:27;0;0;"http://fb.me/6yj5zM3X5";;;;"822193880372219905";https://twitter.com/CvilleDowntown/status/822193880372219905
CvilleDowntown;2017-01-19 16:26;0;0;"http://fb.me/4yXJ5wvDB";;;;"822193453580898306";https://twitter.com/CvilleDowntown/status/822193453580898306
CvilleDowntown;2017-01-19 16:14;0;0;"http://fb.me/73Yryv9Yc";;;;"822190639039336448";https://twitter.com/CvilleDowntown/status/822190639039336448
CvilleDowntown;2017-01-18 19:50;0;0;"http://fb.me/zjo6TnI9";;;;"821882530374815745";https://twitter.com/CvilleDowntown/status/821882530374815745
CvilleDowntown;2017-01-18 17:16;0;0;"http://fb.me/8xk0LLerT";;;;"821843641492705280";https://twitter.com/CvilleDowntown/status/821843641492705280
