username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JohnCBlairII;2017-07-06 11:51;0;0;"1. Back from Palo Alto, and I see a Cville tweeticane by @ seantubbs et al. about the Jefferson Street project. The pic is of an RV https://twitter.com/JohnCBlairII/status/881600824132030464 …";;@;;"882990483143892993";https://twitter.com/JohnCBlairII/status/882990483143892993
celski;2017-06-12 12:41;0;0;"Omg @ MUTEMATH will be at the Jefferson, nobody worthwhile ever comes to Cville, omg!!!";;@;;"874305685227528194";https://twitter.com/celski/status/874305685227528194
SrCenter_Cville;2017-06-01 10:15;0;0;"Join us for a Chocolate Lover's Tea at the Jefferson Hotel Saturday, June 17. http://ow.ly/1DD830c0v5K  .pic.twitter.com/nEgabA7iBp";;;;"870282647112744961";https://twitter.com/SrCenter_Cville/status/870282647112744961
DC_Places;2017-05-20 23:56;0;0;"Twitter mentions for Jefferson: http://sch.mp/0rEaeY  - RT @ typicalsquirrel Geologist Et Al. # animalcollective # cville @The Jefferson ...";;@ @The;# #;"866140546313502722";https://twitter.com/DC_Places/status/866140546313502722
typicalsquirrel;2017-05-20 23:35;0;1;"Geologist Et Al. # animalcollective # cville @The Jefferson Theater https://www.instagram.com/p/BUVunsXg3Lu/";;@The;# #;"866135353681432576";https://twitter.com/typicalsquirrel/status/866135353681432576
Julie_Bernstein;2017-05-01 15:46;1;3;"Joining the city for a night of worship at The Jefferson Theater in # cville VA! # backstagepic.twitter.com/z1e1GnGM4N";;;# #;"859131962979733505";https://twitter.com/Julie_Bernstein/status/859131962979733505
RichmondGL;2017-04-28 20:22;0;1;"Look at the National. They kick the Jefferson's (Cville) ass with the midmajor acts. Private does it better.";;;;"858114154636476420";https://twitter.com/RichmondGL/status/858114154636476420
cville_abe;2017-04-20 18:45;0;0;"# Albemarle # Cville # UVA | TRAFFIC ALERT | 1426 Thomas Jefferson Pkwy | Motor Vehicle Accident | USE CAUTION When entering the area |";;;# # #;"855190759548620800";https://twitter.com/cville_abe/status/855190759548620800
cville_abe;2017-04-18 21:47;0;0;"| 683 Thomas Jefferson Pkwy | Motor Vehicle Accident | CMD on scene confirming (1) vehicle overturned in the road... http://fb.me/8F1OjFXBM";;;;"854511627449892864";https://twitter.com/cville_abe/status/854511627449892864
seantubbs;2017-04-17 20:00;0;1;"Meanwhile in Roanoke - the kind of development story that we'll see in May when 1011 East Jefferson comes to # cville Council https://twitter.com/mattchittum/status/854121129044324352 …";;;#;"854122321732395008";https://twitter.com/seantubbs/status/854122321732395008
xfactorsmut;2017-03-27 08:07;0;0;"@ twentyonepilots play the sprint pavillion or the jefferson in cville they fit less than 1k";;@;;"846332820108820481";https://twitter.com/xfactorsmut/status/846332820108820481
bt_dmb;2017-03-26 01:41;3;69;"Thank you for the great welcome home party in cville. You sold out the Southern so CG will have to come back and play the Jefferson. # LoVE";;;#;"845873312316166146";https://twitter.com/bt_dmb/status/845873312316166146
