date,temperature,precipm
"11:53 AM EST on January 09, 2017",-6.1,-9999.00
"12:53 PM EST on January 09, 2017",-5.6,-9999.00
"1:53 PM EST on January 09, 2017",-4.4,-9999.00
"2:53 PM EST on January 09, 2017",-3.9,-9999.00
"3:53 PM EST on January 09, 2017",-3.9,-9999.00
"4:53 PM EST on January 09, 2017",-4.4,-9999.00
"5:53 PM EST on January 09, 2017",-5.0,-9999.00
"6:53 PM EST on January 09, 2017",-6.7,-9999.00
"7:53 PM EST on January 09, 2017",-6.7,-9999.00
"8:53 PM EST on January 09, 2017",-6.1,-9999.00
"9:53 PM EST on January 09, 2017",-5.6,-9999.00
"10:53 PM EST on January 09, 2017",-6.7,-9999.00
"11:53 PM EST on January 09, 2017",-6.1,-9999.00
"12:53 AM EST on January 10, 2017",-6.7,-9999.00
"1:53 AM EST on January 10, 2017",-6.7,-9999.00
"2:53 AM EST on January 10, 2017",-6.7,-9999.00
"3:53 AM EST on January 10, 2017",-6.7,-9999.00
"4:53 AM EST on January 10, 2017",-7.2,-9999.00
"5:53 AM EST on January 10, 2017",-6.7,-9999.00
"6:53 AM EST on January 10, 2017",-6.1,-9999.00
"7:53 AM EST on January 10, 2017",-5.6,-9999.00
"8:53 AM EST on January 10, 2017",-5.0,-9999.00
"9:53 AM EST on January 10, 2017",-4.4,-9999.00
"10:53 AM EST on January 10, 2017",-2.2,-9999.00
"11:53 AM EST on January 10, 2017",-0.6,-9999.00
"12:53 PM EST on January 10, 2017",0.6,-9999.00
"1:53 PM EST on January 10, 2017",1.1,-9999.00
"2:53 PM EST on January 10, 2017",1.7,-9999.00
"3:53 PM EST on January 10, 2017",2.8,-9999.00
"4:53 PM EST on January 10, 2017",2.2,-9999.00
"5:53 PM EST on January 10, 2017",2.8,-9999.00
"6:53 PM EST on January 10, 2017",2.8,-9999.00
"7:53 PM EST on January 10, 2017",2.8,-9999.00
"8:53 PM EST on January 10, 2017",2.8,-9999.00
"9:53 PM EST on January 10, 2017",3.3,-9999.00
"10:53 PM EST on January 10, 2017",3.9,-9999.00
"11:53 PM EST on January 10, 2017",3.3,0.0
"12:53 AM EST on January 11, 2017",3.3,0.3
"1:53 AM EST on January 11, 2017",3.9,0.0
"2:53 AM EST on January 11, 2017",4.4,-9999.00
"3:53 AM EST on January 11, 2017",4.4,-9999.00
"4:53 AM EST on January 11, 2017",4.4,-9999.00
"5:53 AM EST on January 11, 2017",2.8,-9999.00
"6:53 AM EST on January 11, 2017",2.8,-9999.00
"7:53 AM EST on January 11, 2017",3.3,-9999.00
"8:53 AM EST on January 11, 2017",5.6,-9999.00
"9:53 AM EST on January 11, 2017",7.2,-9999.00
"10:53 AM EST on January 11, 2017",8.9,-9999.00
"11:53 AM EST on January 11, 2017",10.6,-9999.00
"12:53 PM EST on January 11, 2017",10.6,-9999.00
"1:53 PM EST on January 11, 2017",10.0,-9999.00
"2:53 PM EST on January 11, 2017",8.9,0.3
"3:53 PM EST on January 11, 2017",8.9,0.0
"4:53 PM EST on January 11, 2017",7.8,0.0
"5:53 PM EST on January 11, 2017",7.8,0.0
"6:53 PM EST on January 11, 2017",7.2,0.3
"7:53 PM EST on January 11, 2017",6.7,-9999.00
"8:53 PM EST on January 11, 2017",6.1,-9999.00
"9:53 PM EST on January 11, 2017",7.2,-9999.00
"10:53 PM EST on January 11, 2017",7.8,-9999.00
"11:53 PM EST on January 11, 2017",9.4,-9999.00
"12:53 AM EST on January 12, 2017",11.1,-9999.00
"1:53 AM EST on January 12, 2017",11.1,-9999.00
"2:53 AM EST on January 12, 2017",11.1,-9999.00
"3:53 AM EST on January 12, 2017",10.6,-9999.00
"4:53 AM EST on January 12, 2017",10.6,-9999.00
"5:42 AM EST on January 12, 2017",10.6,-9999.00
"5:53 AM EST on January 12, 2017",10.6,-9999.00
"6:13 AM EST on January 12, 2017",10.6,-9999.00
"6:53 AM EST on January 12, 2017",10.6,-9999.00
"7:53 AM EST on January 12, 2017",11.1,-9999.00
"8:53 AM EST on January 12, 2017",11.7,-9999.00
"9:53 AM EST on January 12, 2017",13.3,-9999.00
"10:53 AM EST on January 12, 2017",15.6,-9999.00
"11:53 AM EST on January 12, 2017",17.8,-9999.00
"12:53 PM EST on January 12, 2017",20.0,-9999.00
"1:53 PM EST on January 12, 2017",21.7,-9999.00
"2:53 PM EST on January 12, 2017",21.1,-9999.00
"3:53 PM EST on January 12, 2017",20.6,-9999.00
"4:53 PM EST on January 12, 2017",19.4,-9999.00
