,RecordID,TicketNumber,DateIssued,StreetName,TimeIssued,StreetNumber,LicenseState,WaiverRequestDate,WaiverGrantedDate,AppealDate,AppealGrantedDate,ViolationDescription,AppealStatus,Location,LicensePlateAnon,Coords
11182,13183,00196389,2017-01-05T15:43:50.000Z,1ST ST N,15:43,100,VA,,,,,Void,n/a,100 1ST ST N,119490,"(38.0321163, -78.4810335)"
11189,13190,00196396,2017-01-06T10:02:35.000Z,JEFFERSON PARK AVE,10:02,1700,VA,,,,,No Parking any time,n/a,1700 JEFFERSON PARK AVE,126335,"(38.0302648, -78.5083839670757)"
11192,13193,00196399,2017-01-06T10:06:53.000Z,AVON ST,10:06,100,VA,,,,,LT Side to Curb,n/a,100 AVON ST,107212,"(38.02784665, -78.4753038506231)"
11198,13199,00196404,2017-01-06T10:23:25.000Z,MAPLE ST,10:23,700,VA,,,,,Curb Painted Yellow,n/a,700 MAPLE ST,106413,"(38.032479, -78.475332)"
11200,13201,00196406,2017-01-06T10:26:22.000Z,JEFFERSON PARK AVE,10:26,1800,VA,,,,,No Parking any time,n/a,1800 JEFFERSON PARK AVE,45823,"(38.0275436, -78.5090694)"
11209,13210,00196417,2017-01-06T11:14:15.000Z,CENTER AVE,11:14,2200,VA,,,,,LT Side to Curb,n/a,2200 CENTER AVE,108038,"(38.024358, -78.51037)"
11211,13212,00196419,2017-01-06T11:18:50.000Z,RAINIER RD,11:18,900,CO,,,,,Curb Painted Yellow,n/a,900 RAINIER RD,1925,"(38.0209607, -78.5075377470951)"
11225,13226,00196433,2017-01-06T11:27:10.000Z,RAINIER RD,11:27,600,VA,,,,,No Parking any time,n/a,600 RAINIER RD,107540,"(38.02128115, -78.5093558243263)"
11251,13252,00196459,2017-01-06T12:10:15.000Z,SPRING ST,12:10,400,VA,,,,,Permit Zone w/o Permit,n/a,400 SPRING ST,127625,"(38.028533, -78.50011)"
11256,13257,00196464,2017-01-06T12:17:30.000Z,10TH ST SW,12:17,300,VA,,,,,No Parking any time,n/a,300 10TH ST SW,85049,"(38.029734, -78.496815)"
11257,13258,00196465,2017-01-06T12:17:49.000Z,2ND ST SE,12:17,300,VA,,,,,Overtime Parking,n/a,300 2ND ST SE,126200,"(38.029051, -78.481339)"
11259,13260,00196467,2017-01-06T12:20:14.000Z,GROVE ST,12:20,900,VA,,,,,No Parking any time,n/a,900 GROVE ST,109323,"(38.029994, -78.495827)"
11292,13293,00196500,2017-01-06T13:32:52.000Z,FOREST HILLS AVE,13:32,1000,VA,,,,,Permit Zone w/o Permit,n/a,1000 FOREST HILLS AVE,107033,"(38.025224, -78.495724)"
11298,13299,00196505,2017-01-06T13:42:21.000Z,9TH ST SW,13:42,600,VA,,,,,Permit Zone w/o Permit,n/a,600 9TH ST SW,35942,"(38.0269178, -78.4950492916534)"
363962,363963,87634705,2017-01-08T00:00:00.000Z,14TH ST NW,23:19,302,AL,,,,,LT Side to Curb,n/a,302 14TH ST NW,513,"(38.03598855, -78.497927929)"
11313,13314,00196525,2017-01-09T11:31:10.000Z,LEXINGTON AVE,11:31,500,VA,,,,,Warning,n/a,500 LEXINGTON AVE,108743,"(38.03319, -78.472557)"
11335,13336,00196547,2017-01-10T13:59:17.000Z,GORDON AVE,13:59,1500,VA,,,,,Overtime Parking,n/a,1500 GORDON AVE,109157,"(38.03955, -78.497942)"
11346,13347,00196558,2017-01-10T14:14:43.000Z,WERTLAND ST,14:14,1300,VA,,,,,LT Side to Curb,n/a,1300 WERTLAND ST,49189,"(38.03439035, -78.4981168469736)"
11348,13349,00196560,2017-01-10T15:14:31.000Z,VIRGINIA AVE,15:14,1400,VA,,,,,No Parking any time,n/a,1400 VIRGINIA AVE,128086,"(38.037776, -78.497808)"
363343,363344,87514018,2017-01-11T00:00:00.000Z,9TH ST SW,08:43,100,VA,,,,,No Parking any time,n/a,100 9TH ST SW,29820,"(38.032455, -78.494726)"
364048,364049,87665218,2017-01-11T00:00:00.000Z,W MAIN ST,19:28,852,VA,,,,,No Parking any time,n/a,852 W MAIN ST,109250,"(38.0319625, -78.4926293)"
364480,364481,87852202,2017-01-11T00:00:00.000Z,W MAIN ST,18:25,325,VA,,,,,Overtime Parking,n/a,325 W MAIN ST,44063,"(38.0308268, -78.4861253)"
11353,13354,00196568,2017-01-11T10:55:40.000Z,2ND ST SW,10:55,100,VA,,,,,No Parking any time,n/a,100 2ND ST SW,105701,"(38.030898, -78.482204)"
11390,13391,00196604,2017-01-11T12:29:12.000Z,PARK ST,12:29,300,VA,,,,,Overtime Parking,n/a,300 PARK ST,67126,"(38.0315033, -78.4770551)"
11428,13429,00196642,2017-01-11T13:20:03.000Z,5TH ST NW,13:20,200,VA,,,01/23/2017,01/25/2017,Overtime Parking,denied,200 5TH ST NW,37116,"(38.031681, -78.487318)"
362660,362661,87360118,2017-01-12T00:00:00.000Z,E MARKET ST,14:02,310,MD,,,,,No Parking any time,n/a,310 E MARKET ST,10525,"(38.0317403, -78.4819014)"
11437,13438,00196654,2017-01-12T07:58:54.000Z,9TH ST SW,07:58,300,VA,,,,,No Parking any time,n/a,300 9TH ST SW,108186,"(38.03003045, -78.4947200471547)"
11469,13470,00196690,2017-01-13T08:35:15.000Z,14TH ST NW,08:35,400,VA,,,,,No Parking Desig HR ,n/a,400 14TH ST NW,120900,"(38.0382274574492, -78.4972874107778)"
11470,13471,00196691,2017-01-13T09:14:52.000Z,15TH ST NW,09:14,400,VA,,,01/13/2017,01/18/2017,Permit Zone w/o Permit,denied,400 15TH ST NW,133818,"(38.038191, -78.498399)"
11472,13473,00196693,2017-01-13T11:00:35.000Z,MAPLE ST,11:00,400,VA,,,,,Curb Painted Yellow,n/a,400 MAPLE ST,55060,"(38.032403, -78.474833)"
355244,356245,86742719,2017-01-16T00:00:00.000Z,ALTAMONT CIR,10:49,411,VA,,,,,No Parking Desig HR ,n/a,411 ALTAMONT CIR,97811,"(38.0341606, -78.4804412701462)"
363396,363397,87525305,2017-01-16T00:00:00.000Z,DRUID AVE,11:01,703,VA,,,,,LT Side to Curb,n/a,703 DRUID AVE,77268,"(38.0197697, -78.4821085999831)"
359068,359069,86924526,2017-01-17T00:00:00.000Z,VIRGINIA AVE,19:45,1409,VA,,,,,Curb Painted Yellow,n/a,1409 VIRGINIA AVE,86688,"(38.0379455714286, -78.4977819183674)"
363397,363398,87525405,2017-01-17T00:00:00.000Z,CARLTON AVE,11:42,1327,VA,,,,,LT Side to Curb,n/a,1327 CARLTON AVE,102375,"(38.0218278, -78.4666440358679)"
11508,13509,00196730,2017-01-17T09:46:26.000Z,NALLE ST,09:46,900,VA,,,,,Permit Zone w/o Permit,n/a,900 NALLE ST,94614,"(38.0299593914958, -78.4937812082544)"
11509,13510,00196731,2017-01-17T09:49:42.000Z,NALLE ST,09:49,800,VA,,,,,Permit Zone w/o Permit,n/a,800 NALLE ST,97808,"(38.0296569904739, -78.4927534962704)"
11511,13512,00196733,2017-01-17T09:59:57.000Z,7TH ST NE,09:59,100,VA,,,,,Void,n/a,100 7TH ST NE,121759,"(38.029795, -78.476692)"
11513,13514,00196740,2017-01-17T10:47:25.000Z,15TH ST NW,10:47,300,VA,,,,,No Parking any time,n/a,300 15TH ST NW,117684,"(38.036391, -78.499236)"
11569,13570,00196796,2017-01-17T13:35:50.000Z,GRADY AVE,13:35,1500,VA,,,,,Overtime Parking,n/a,1500 GRADY AVE,126813,"(38.040473, -78.497382)"
11584,13585,00196810,2017-01-17T13:57:02.000Z,SADLER ST,13:57,1400,VA,,,,,15ft of Fire Hydrant,n/a,1400 SADLER ST,116417,"(38.036028, -78.498704)"
362019,362020,87215105,2017-01-18T00:00:00.000Z,MIDLAND ST,10:30,1412,VA,,,,,LT Side to Curb,n/a,1412 MIDLAND ST,48056,"(38.02013565, -78.4672237362429)"
11587,13588,00196814,2017-01-18T08:04:46.000Z,KENT TER,08:04,100,NC,,,,,Blocking Drive ,n/a,100 KENT TER,15437,"(38.028384, -78.509801)"
11590,13591,00196817,2017-01-18T10:36:28.000Z,PARK PLZ,10:36,500,VA,,,01/19/2017,01/25/2017,Permit Zone w/o Permit,denied,500 PARK PLZ,45510,"(38.034097, -78.478066)"
11597,13598,00196829,2017-01-18T11:23:35.000Z,HARMON ST,11:23,100,VA,,,,,Permit Zone w/o Permit,n/a,100 HARMON ST,107588,"(38.02727355, -78.5124787561624)"
11598,13599,00196830,2017-01-18T11:26:11.000Z,JEFFERSON PARK AVE,11:26,2000,VA,,,,,No Parking any time,n/a,2000 JEFFERSON PARK AVE,85933,"(38.02649925, -78.5127193)"
11622,13623,00196854,2017-01-18T12:10:04.000Z,E HIGH ST,12:10,700,VA,,,,,Warning,n/a,700 E HIGH ST,107525,"(38.033224, -78.483328)"
11629,13630,00196861,2017-01-18T12:23:02.000Z,TODD AVE,12:23,200,VA,,,,,No Parking any time,n/a,200 TODD AVE,122599,"(38.02489585, -78.5131962488357)"
11633,13634,00196865,2017-01-18T12:27:19.000Z,2ND ST NE,12:27,500,VA,,,,,LT Side to Curb,n/a,500 2ND ST NE,105363,"(38.0342975, -78.478696958871)"
11668,13669,00196900,2017-01-18T13:38:22.000Z,LEWIS MOUNTAIN RD,13:38,1900,VA,,,,,Permit Zone w/o Permit,n/a,1900 LEWIS MOUNTAIN RD,110376,"(38.037441, -78.507679)"
348999,350000,86300318,2017-01-19T00:00:00.000Z,CHANCELLOR ST,20:08,163,VA,,,,,No Parking any time,n/a,163 CHANCELLOR ST,112975,"(38.0377135822016, -78.5007895181046)"
348997,349998,86300218,2017-01-19T00:00:00.000Z,UNIVERSITY WAY,19:19,60,FL,,,,,No Parking any time,n/a,60 UNIVERSITY WAY,4506,"(38.04124115, -78.50222735)"
348995,349996,86300113,2017-01-19T00:00:00.000Z,THOMSON RD,20:39,1916,VA,,,02/17/2017,02/22/2017,Blocking Drive ,denied,1916 THOMSON RD,108346,"(38.0367776424438, -78.509235230386)"
11695,13696,00196926,2017-01-19T10:47:43.000Z,MAPLE ST,10:47,600,VA,,,,,Curb Painted Yellow,n/a,600 MAPLE ST,116305,"(38.032831, -78.47635)"
11742,13743,00196974,2017-01-19T12:14:16.000Z,MONROE LN,12:14,400,VA,,,,,No Parking any time,n/a,400 MONROE LN,128682,"(38.031934, -78.502684)"
11756,13757,00196988,2017-01-19T12:46:41.000Z,CABELL AVE,12:46,900,DC,,,,,LT Side to Curb,n/a,900 CABELL AVE,3323,"(38.042561, -78.495918)"
11767,13768,00196999,2017-01-19T13:13:23.000Z,GRADY AVE,13:13,1600,VA,,,,,No Parking any time,n/a,1600 GRADY AVE,67513,"(38.04146315, -78.4989107451958)"
11775,13776,00197006,2017-01-19T13:18:15.000Z,BRUCE AVE,13:18,1600,VA,,,,,LT Side to Curb,n/a,1600 BRUCE AVE,88034,"(38.049288, -78.485784)"
11788,13789,00197019,2017-01-19T13:32:15.000Z,E MARKET ST,13:32,1100,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,1100 E MARKET ST,88504,"(38.0317403, -78.4819014)"
11799,13800,00197030,2017-01-19T13:45:16.000Z,GRADY AVE,13:45,1700,VA,,,,,No Parking any time,n/a,1700 GRADY AVE,105210,"(38.041224, -78.499427)"
11824,13825,00197055,2017-01-19T14:32:39.000Z,10 1/2 ST NW,14:32,600,GA,,,,,Void,n/a,600 10 1/2 ST NW,6803,"(38.0393010035046, -78.4922312067623)"
11836,13837,00197073,2017-01-20T09:56:57.000Z,E SOUTH ST,09:56,400,VA,,,,,No Parking any time,n/a,400 E SOUTH ST,46005,"(39.7904577, -85.6126293)"
11842,13843,00197079,2017-01-20T11:10:45.000Z,10TH ST NW,11:10,400,VA,,,,,No Parking any time,n/a,400 10TH ST NW,108981,"(38.032911, -78.494605)"
11856,13857,00197093,2017-01-20T11:49:54.000Z,GLEASON ST,11:49,200,VA,,,,,No Parking any time,n/a,200 GLEASON ST,108777,"(38.0285922, -78.4842618)"
11872,13873,00197108,2017-01-20T12:17:34.000Z,2ND ST NW,12:17,300,VA,,,,,Overtime Parking,n/a,300 2ND ST NW,139850,"(38.032619, -78.481406)"
362020,362021,87215212,2017-01-21T00:00:00.000Z,PATON ST,09:44,501,VA,,,,,15ft of Fire Hydrant,n/a,501 PATON ST,107913,"(38.02702535, -78.5023862043215)"
363720,363721,87572909,2017-01-23T00:00:00.000Z,MONROE LN,12:27,500,VA,,,,,Other,n/a,500 MONROE LN,93288,"(38.030665, -78.503089)"
11942,13943,00197185,2017-01-23T13:36:09.000Z,VIRGINIA AVE,13:36,1500,VA,,,,,No Parking any time,n/a,1500 VIRGINIA AVE,31906,"(38.0380139, -78.49878595)"
11945,13946,00197188,2017-01-23T13:41:42.000Z,16TH ST NW,13:41,500,VA,,,,,No Parking any time,n/a,500 16TH ST NW,78041,"(38.039966, -78.49879)"
11968,13969,00197211,2017-01-23T14:46:49.000Z,ROCK CREEK RD,14:46,600,CO,,,,,LT Side to Curb,n/a,600 ROCK CREEK RD,1872,"(38.023171, -78.501056)"
355818,356819,86781018,2017-01-24T00:00:00.000Z,2ND ST NE,14:27,108,VA,,,04/11/2017,04/18/2017,No Parking any time,denied,108 2ND ST NE,38401,"(38.0308674, -78.4804387119347)"
11977,13978,00197223,2017-01-24T09:23:09.000Z,VALLEY RD,09:23,500,VA,,,01/24/2017,01/26/2017,Permit Zone w/o Permit,granted,500 VALLEY RD,129074,"(38.0290888682553, -78.5058099549414)"
11987,13988,00197233,2017-01-24T09:42:28.000Z,GORDON AVE,09:42,1600,VA,,,,,No Parking any time,n/a,1600 GORDON AVE,131383,"(38.039942, -78.498975)"
13027,14028,00197273,2017-01-24T12:11:06.000Z,WASHINGTON AVE,12:11,100,VA,,,,,Permit Zone w/o Permit,n/a,100 WASHINGTON AVE,108815,"(38.02687, -78.512991)"
13091,14092,00197336,2017-01-24T14:02:23.000Z,MADISON LN,14:02,100,VA,,,,,No Parking any time,n/a,100 MADISON LN,132242,"(38.036476, -78.502246)"
13095,14096,00197340,2017-01-24T14:14:47.000Z,BURNLEY AVE,14:14,1700,VA,,,,,Permit Zone w/o Permit,n/a,1700 BURNLEY AVE,104221,"(38.042664, -78.497351)"
13096,14097,00197341,2017-01-24T14:17:56.000Z,CABELL AVE,14:17,600,NJ,,,,,No Parking any time,n/a,600 CABELL AVE,18111,"(38.040774, -78.497568)"
13097,14098,00197342,2017-01-24T14:22:07.000Z,17TH ST NW,14:22,400,VA,,,,,No Parking any time,n/a,400 17TH ST NW,129117,"(38.039201, -78.500488)"
350001,350002,86300418,2017-01-25T00:00:00.000Z,WERTLAND ST,23:30,1400,VA,,,,,No Parking any time,n/a,1400 WERTLAND ST,109368,"(38.0347376, -78.4994969)"
13141,14142,00197397,2017-01-25T11:32:21.000Z,STONEHENGE AVE,11:32,900,VA,,,,,LT Side to Curb,n/a,900 STONEHENGE AVE,105541,"(38.01730455, -78.4799108237789)"
355114,356115,86732613,2017-01-26T00:00:00.000Z,14TH ST NW,17:43,502,VA,,,,,Blocking Drive ,n/a,502 14TH ST NW,88161,"(38.0393112857143, -78.4966331428571)"
13223,14224,00197479,2017-01-26T08:51:04.000Z,UNIVERSITY CIR,08:51,1800,IL,,,,,No Parking any time,n/a,1800 UNIVERSITY CIR,7843,"(38.0418453963612, -78.5019335593554)"
13225,14226,00197481,2017-01-26T09:05:37.000Z,UNIVERSITY WAY,09:05,100,VA,,,,,No Parking any time,n/a,100 UNIVERSITY WAY,113243,"(38.041614, -78.501798)"
13240,14241,00197496,2017-01-26T09:39:31.000Z,UNIVERSITY CIR,09:39,20,VA,,,,,No Parking any time,n/a,20 UNIVERSITY CIR,106682,"(38.043477, -78.502648)"
13288,14289,00197543,2017-01-26T12:14:49.000Z,RAINIER RD,12:14,800,VA,,,,,Blocking Drive ,n/a,800 RAINIER RD,103608,"(38.0197340913132, -78.507115658777)"
13301,14302,00197556,2017-01-26T13:09:38.000Z,PRESTON PL,13:09,600,VA,,,,,Curb Painted Yellow,n/a,600 PRESTON PL,116575,"(38.041133, -78.498564)"
13320,14321,00197575,2017-01-26T13:54:45.000Z,UNIVERSITY CIR,13:54,10,VA,,,,,No Parking any time,n/a,10 UNIVERSITY CIR,102791,"(38.0420948205871, -78.5009014177288)"
364174,364175,87715518,2017-01-28T00:00:00.000Z,4TH ST NE,13:42,108,VA,,,,,No Parking any time,n/a,108 4TH ST NE,36853,"(38.0303951, -78.4789315)"
363196,363197,87488009,2017-01-28T00:00:00.000Z,MONTICELLO RD,20:05,800,VA,,,,,Other,n/a,800 MONTICELLO RD,105302,"(38.0277323, -78.4767923)"
358270,358271,86868413,2017-01-28T00:00:00.000Z,GRAVES ST,21:58,715,VA,,,,,Blocking Drive ,n/a,715 GRAVES ST,109340,"(38.02734695, -78.4756809630572)"
364093,364094,87683018,2017-01-28T00:00:00.000Z,CHANCELLOR ST,19:45,132,VA,,,,,No Parking any time,n/a,132 CHANCELLOR ST,37138,"(38.0369238491331, -78.5008930935931)"
364092,364093,87682918,2017-01-28T00:00:00.000Z,UNIVERSITY CIR,19:10,68,VA,,,,,No Parking any time,n/a,68 UNIVERSITY CIR,103162,"(38.0434978369595, -78.5034752652162)"
364125,364126,87690913,2017-01-28T00:00:00.000Z,E JEFFERSON ST,19:52,206,VA,,,,,Blocking Drive ,n/a,206 E JEFFERSON ST,107895,"(38.0319306938775, -78.479927877551)"
355308,356309,86747825,2017-01-28T00:00:00.000Z,GRADY AVE,23:42,1508,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,1508 GRADY AVE,117970,"(38.0406657608696, -78.4979108043478)"
364094,364095,87683219,2017-01-29T00:00:00.000Z,UNIVERSITY AVE,01:15,1409,PA,,,,,No Parking Desig HR ,n/a,1409 UNIVERSITY AVE,23719,"(38.0345581132075, -78.5001988490566)"
13379,14380,00197667,2017-01-30T10:32:02.000Z,BLENHEIM AVE,10:32,900,VA,,,,,Void,n/a,900 BLENHEIM AVE,98673,"(38.02106455, -78.47709115)"
364095,364096,87683313,2017-01-31T00:00:00.000Z,GRADY AVE,21:38,1601,GA,,,,,Blocking Drive ,n/a,1601 GRADY AVE,6899,"(38.0411842755102, -78.4988264693878)"
13439,14440,00197726,2017-01-31T09:53:39.000Z,CARROLLTON TER,09:53,10,VA,,,,,LT Side to Curb,n/a,10 CARROLLTON TER,110018,"(38.02754855, -78.5103946789663)"
13470,14471,00197757,2017-01-31T11:13:12.000Z,WERTLAND ST,11:13,1000,TX,,,,,No Parking any time,n/a,1000 WERTLAND ST,27820,"(38.03391375, -78.4942626011214)"
362814,362815,87417901,2017-02-01T00:00:00.000Z,W MAIN ST,11:37,1300,VA,,,,,Violation of Meter Ordinance,n/a,1300 W MAIN ST,121309,"(38.0307356, -78.4870175)"
364175,364176,87715625,2017-02-01T00:00:00.000Z,W MAIN ST,10:00,230,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,230 W MAIN ST,33221,"(38.0312365510204, -78.482469377551)"
13570,14571,00197858,2017-02-01T07:45:48.000Z,ALTAVISTA AVE,07:45,900,VA,,,,,Blocking Drive ,n/a,900 ALTAVISTA AVE,128783,"(38.0187954, -78.478744530925)"
13571,14572,00197859,2017-02-01T09:09:03.000Z,CARROLLTON TER,09:09,100,VA,,,,,Parking 20ft of Intersection,n/a,100 CARROLLTON TER,105182,"(38.02803825, -78.510278058646)"
13586,14587,00197879,2017-02-01T10:53:30.000Z,OAKHURST CIR,10:53,100,VA,,,,,Permit Zone w/o Permit,n/a,100 OAKHURST CIR,118883,"(38.0318982, -78.5068316)"
13613,14614,00197906,2017-02-01T11:54:15.000Z,14TH ST NW,11:54,100,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,100 14TH ST NW,30343,"(38.0341801, -78.4993832)"
13631,14632,00197924,2017-02-01T12:21:45.000Z,UNIVERSITY AVE,12:22,1500,VA,,,,,Overtime Parking,n/a,1500 UNIVERSITY AVE,113852,"(38.0347186509434, -78.5003336320755)"
13677,14678,00197970,2017-02-01T14:27:28.000Z,UNIVERSITY AVE,14:27,1400,VA,,,,,Overtime Parking,n/a,1400 UNIVERSITY AVE,38249,"(38.035338, -78.500954)"
364176,364177,87715709,2017-02-02T00:00:00.000Z,7TH ST NE,13:10,120,VA,,,,,Other,n/a,120 7TH ST NE,38938,"(38.0298320686306, -78.4766728153578)"
13730,14731,00198033,2017-02-02T10:11:19.000Z,W MAIN ST,10:11,1100,VA,,,,,Void,n/a,1100 W MAIN ST,109045,"(38.032802, -78.496112)"
13750,14751,00198053,2017-02-02T11:24:49.000Z,JEFFERSON PARK AVE,11:24,1600,VA,,,,,Curb Painted Yellow,n/a,1600 JEFFERSON PARK AVE,121922,"(38.03173675, -78.5074391509459)"
13751,14752,00198054,2017-02-02T11:30:12.000Z,MONTEBELLO CIR,11:30,200,VA,,,,,Permit Zone w/o Permit,n/a,200 MONTEBELLO CIR,88319,"(38.029817, -78.509848)"
13793,14794,00198096,2017-02-02T13:12:20.000Z,SPRIGG LN,13:12,200,VA,,,,,No Parking any time,n/a,200 SPRIGG LN,35135,"(38.038744, -78.508363)"
13823,14824,00198125,2017-02-02T14:37:58.000Z,7TH ST NE,14:37,500,VA,,,,,Permit Zone w/o Permit,n/a,500 7TH ST NE,105606,"(38.032692, -78.475286)"
13839,14840,00198141,2017-02-02T15:18:01.000Z,UNIVERSITY AVE,15:18,1600,VA,,,,,Overtime Parking,n/a,1600 UNIVERSITY AVE,92617,"(38.035338, -78.500954)"
362036,362037,87232722,2017-02-03T00:00:00.000Z,1ST ST S,12:11,500,VA,,,,,Handicapped Space,n/a,500 1ST ST S,30598,"(38.02701755, -78.4829548250253)"
13862,14863,00198165,2017-02-03T11:34:04.000Z,WERTLAND ST,11:34,1200,VA,,,,,Permit Zone w/o Permit,n/a,1200 WERTLAND ST,102515,"(38.0341542, -78.4965064945375)"
13872,14873,00198175,2017-02-03T12:02:31.000Z,12TH ST NW,12:02,100,VA,,,02/03/2017,02/06/2017,No Parking any time,granted,100 12TH ST NW,108430,"(38.033895, -78.496341)"
13882,14883,00198185,2017-02-03T12:40:31.000Z,GILDERSLEEVE WOOD,12:40,10,WV,,,,,Permit Zone w/o Permit,n/a,10 GILDERSLEEVE WOOD,179236,"(38.0310426406682, -78.5067940321847)"
13918,14919,00198220,2017-02-03T13:41:11.000Z,MONTEBELLO CIR,13:41,300,VA,,,,,Permit Zone w/o Permit,n/a,300 MONTEBELLO CIR,119934,"(38.0294346, -78.510363171799)"
13929,14930,00198231,2017-02-03T14:02:00.000Z,CHELSEA DR,14:01,1800,VA,,,02/03/2017,02/07/2017,Permit Zone w/o Permit,granted,1800 CHELSEA DR,120904,"(38.0290535502599, -78.5114297782367)"
362652,362653,87355118,2017-02-04T00:00:00.000Z,ALTAMONT ST,14:30,402,VA,,,,,No Parking any time,n/a,402 ALTAMONT ST,110645,"(38.03394995, -78.4823710465094)"
364385,364386,87817705,2017-02-04T00:00:00.000Z,HARRIS RD,18:28,207,VA,,,,,LT Side to Curb,n/a,207 HARRIS RD,104596,"(38.0163293, -78.5072008949447)"
13956,14957,00198258,2017-02-06T09:47:54.000Z,JONES ST,09:47,300,VA,,,,,No Parking any time,n/a,300 JONES ST,96255,"(38.029256, -78.499044)"
14004,15005,00198314,2017-02-06T12:50:00.000Z,BELMONT AVE,12:50,900,VA,,,02/15/2017,02/17/2017,LT Side to Curb,denied,900 BELMONT AVE,119020,"(38.02343955, -78.4753736488607)"
14058,15059,00198368,2017-02-06T15:30:06.000Z,E MARKET ST,15:30,500,VA,,,,,Overtime Parking,n/a,500 E MARKET ST,107141,"(38.0317403, -78.4819014)"
362653,362654,87357605,2017-02-07T00:00:00.000Z,MCELROY DR,00:55,2707,VA,,,,,LT Side to Curb,n/a,2707 MCELROY DR,105568,"(38.0157700141119, -78.5164707291874)"
362654,362655,87357705,2017-02-07T00:00:00.000Z,ORANGEDALE AVE,01:22,808,VA,,,,,LT Side to Curb,n/a,808 ORANGEDALE AVE,108616,"(38.0211965, -78.4977501982474)"
362655,362656,87357805,2017-02-07T00:00:00.000Z,CAMELLIA DR,03:03,325,VA,,,,,LT Side to Curb,n/a,325 CAMELLIA DR,120263,"(38.01079155, -78.5113792789507)"
362656,362657,87357925,2017-02-07T00:00:00.000Z,10TH ST SW,06:59,517,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,517 10TH ST SW,73951,"(38.027803, -78.496968)"
14070,15071,00198383,2017-02-07T09:11:41.000Z,ALTAMONT ST,09:11,400,VA,,,,,Permit Zone w/o Permit,n/a,400 ALTAMONT ST,48873,"(38.03383535, -78.4823989618519)"
14087,15088,00198400,2017-02-07T10:45:53.000Z,FOREST RIDGE RD,10:45,1400,VA,,,,,No Parking any time,n/a,1400 FOREST RIDGE RD,52847,"(38.025204, -78.497753)"
364180,364181,87716425,2017-02-08T00:00:00.000Z,5TH ST NE,13:30,110,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,110 5TH ST NE,30931,"(38.0302315, -78.4780926471206)"
14222,15223,00198537,2017-02-08T10:54:41.000Z,CLARKE CT,10:54,100,VA,,,,,Parking 20ft of Intersection,n/a,100 CLARKE CT,110232,"(38.026855, -78.515422)"
14249,15250,00198564,2017-02-08T12:00:28.000Z,E HIGH ST,12:00,800,VA,,,,,Warning,n/a,800 E HIGH ST,107525,"(38.033224, -78.483328)"
14280,15281,00198596,2017-02-08T13:00:14.000Z,BELMONT AVE,13:00,800,VA,,,,,LT Side to Curb,n/a,800 BELMONT AVE,104578,"(38.02418465, -78.4769664048326)"
14288,15289,00198603,2017-02-08T13:12:28.000Z,GRAVES ST,13:12,700,VA,,,,,LT Side to Curb,n/a,700 GRAVES ST,77856,"(38.0269367, -78.4766692983389)"
363197,363198,87488113,2017-02-09T00:00:00.000Z,HINTON AVE,19:22,824,VA,,,,,Blocking Drive ,n/a,824 HINTON AVE,177243,"(38.0244519, -78.4755634394672)"
14303,15304,00198621,2017-02-09T09:39:57.000Z,8TH ST NE,09:39,400,VA,,,,,Parking 20ft of Intersection,n/a,400 8TH ST NE,108726,"(38.031521, -78.475151)"
14326,15327,00198645,2017-02-09T12:01:12.000Z,DUNOVA CT,12:01,100,VA,,,,,Permit Zone w/o Permit,n/a,100 DUNOVA CT,133373,"(38.02987755, -78.5120333916373)"
14395,15396,00198716,2017-02-10T07:57:12.000Z,HENRY AVE,07:57,900,VA,,,,,LT Side to Curb,n/a,900 HENRY AVE,105390,"(38.0389241, -78.4868195412634)"
14396,15397,00198717,2017-02-10T08:31:12.000Z,STONEHENGE AVE,08:31,500,VA,,,02/10/2017,02/14/2017,LT Side to Curb,granted,500 STONEHENGE AVE,107888,"(38.0201034, -78.4858113628626)"
14493,15494,00198816,2017-02-10T13:57:08.000Z,W SOUTH ST,13:57,300,VA,,,,,Void,n/a,300 W SOUTH ST,104085,"(39.7904577, -85.6126293)"
355822,356823,86781216,2017-02-11T00:00:00.000Z,W MAIN ST,14:15,200,VA,,,,,Permit Zone w/o Permit,n/a,200 W MAIN ST,100437,"(38.0309357, -78.4824143)"
363185,363186,87480622,2017-02-11T00:00:00.000Z,2ND ST SE,23:16,100,VA,,,03/29/2017,03/31/2017,Handicapped Space,denied,100 2ND ST SE,107426,"(38.030397, -78.480702)"
364059,364060,87673016,2017-02-13T00:00:00.000Z,GROVE ST,04:22,1004,VA,,,,,Permit Zone w/o Permit,n/a,1004 GROVE ST,106975,"(38.02956955, -78.4973772246393)"
362657,362658,87358005,2017-02-13T00:00:00.000Z,ROBERTSON AVE,02:28,118,VA,,,,,LT Side to Curb,n/a,118 ROBERTSON AVE,66538,"(38.0242426, -78.5132875187178)"
