,RecordID,TicketNumber,DateIssued,StreetName,TimeIssued,StreetNumber,LicenseState,WaiverRequestDate,WaiverGrantedDate,AppealDate,AppealGrantedDate,ViolationDescription,AppealStatus,Location,LicensePlateAnon,Coords
340433,339434,85496215,2017-02-27T00:00:00.000Z,DICE ST,18:04,500,VA,,,,,Parking 20ft of Intersection,n/a,500 DICE ST,131052,"(38.029015, -78.489033)"
15258,16259,00199644,2017-02-27T08:16:50.000Z,GORDON AVE,08:16,1300,VA,,,,,No Parking any time,n/a,1300 GORDON AVE,130004,"(38.038829, -78.49602)"
355083,356084,86730113,2017-02-28T00:00:00.000Z,WERTLAND ST,19:56,1005,VA,,,,,Blocking Drive ,n/a,1005 WERTLAND ST,133531,"(38.0343285, -78.4943357394104)"
352248,352249,86483618,2017-02-28T00:00:00.000Z,E HIGH ST,13:37,1100,VA,,,,,No Parking any time,n/a,1100 E HIGH ST,113110,"(38.033224, -78.483328)"
364170,364171,87714818,2017-03-01T00:00:00.000Z,4TH ST NE,15:55,104,VA,,,,,No Parking any time,n/a,104 4TH ST NE,103655,"(38.0301524489796, -78.4790900204082)"
15497,16498,00199897,2017-03-01T12:02:34.000Z,PAOLI ST,12:02,900,VA,,,,,Permit Zone w/o Permit,n/a,900 PAOLI ST,104208,"(38.03515, -78.491499)"
351056,351057,86393026,2017-03-02T00:00:00.000Z,WERTLAND ST,08:44,1021,VA,,,,,Curb Painted Yellow,n/a,1021 WERTLAND ST,114019,"(38.0346209, -78.4950041857331)"
362037,362038,87232818,2017-03-02T00:00:00.000Z,CARLTON AVE,11:48,1500,VA,,,,,No Parking any time,n/a,1500 CARLTON AVE,104588,"(38.02128635, -78.4637282938018)"
351058,351059,86393118,2017-03-02T00:00:00.000Z,PAGE ST,08:54,1100,VA,,,,,No Parking any time,n/a,1100 PAGE ST,100398,"(38.03572315, -78.4949814846298)"
360447,360448,87065924,2017-03-03T00:00:00.000Z,CARLTON RD,01:00,100,VA,,,,,Obstructing Traffic ,n/a,100 CARLTON RD,109776,"(38.026826, -78.468658)"
350997,350998,86387718,2017-03-03T00:00:00.000Z,UNIVERSITY CIR,17:58,21,VA,,,,,No Parking any time,n/a,21 UNIVERSITY CIR,109733,"(38.0435898168634, -78.5027938560877)"
15639,16640,00200057,2017-03-03T11:17:51.000Z,KING ST,11:17,800,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,800 KING ST,99224,"(38.0290659274985, -78.4938362900898)"
364538,364539,87890622,2017-03-04T00:00:00.000Z,3RD ST SE,15:31,103,VA,,,,,Handicapped Space,n/a,103 3RD ST SE,110348,"(38.0301331, -78.4801763)"
354607,354608,86631627,2017-03-04T00:00:00.000Z,GOODMAN ST,16:29,100,VA,,,,,12 Inches From Curb,n/a,100 GOODMAN ST,44800,"(38.027341, -78.474498)"
357561,357562,86824318,2017-03-05T00:00:00.000Z,LOCUST AVE,17:45,900,VA,,,,,No Parking any time,n/a,900 LOCUST AVE,135281,"(38.038433, -78.465595)"
363985,363986,87641918,2017-03-05T00:00:00.000Z,W MAIN ST,11:31,320,VA,,,,,No Parking any time,n/a,320 W MAIN ST,36253,"(38.0302997, -78.486074079989)"
355280,356281,86745222,2017-03-06T00:00:00.000Z,W MAIN ST,12:50,625,DC,,,,,Handicapped Space,n/a,625 W MAIN ST,3480,"(38.0315897, -78.4892259874753)"
15709,16710,00200127,2017-03-06T08:07:15.000Z,10 1/2 ST NW,08:07,300,VA,,,,,Warning,n/a,300 10 1/2 ST NW,105016,"(38.035642, -78.49417)"
362647,362648,87353416,2017-03-07T00:00:00.000Z,NALLE ST,16:55,858,VA,,,,,Permit Zone w/o Permit,n/a,858 NALLE ST,107841,"(38.0300686, -78.4944050968171)"
15802,16803,00200229,2017-03-07T13:58:10.000Z,THOMSON RD,13:58,1900,VA,,,,,LT Side to Curb,n/a,1900 THOMSON RD,110782,"(38.036498, -78.50802)"
15806,16807,00200233,2017-03-07T14:07:47.000Z,GENTRY LN,14:07,1400,VA,,,03/07/2017,03/08/2017,LT Side to Curb,denied,1400 GENTRY LN,178465,"(38.05121175, -78.4884376734769)"
15808,16809,00200235,2017-03-07T14:11:14.000Z,CAMBRIDGE CIR,14:11,1600,TX,,,,,LT Side to Curb,n/a,1600 CAMBRIDGE CIR,27991,"(38.048779, -78.4868060372338)"
15810,16811,00200237,2017-03-07T14:15:03.000Z,MASON LN,14:15,1600,VA,,,,,LT Side to Curb,n/a,1600 MASON LN,47574,"(38.047003, -78.488556)"
363674,363675,87566605,2017-03-08T00:00:00.000Z,HIGHLAND AVE,08:19,2316,VA,,,,,LT Side to Curb,n/a,2316 HIGHLAND AVE,87176,"(38.0233799, -78.5108951476583)"
15843,16844,00200270,2017-03-08T10:15:02.000Z,MAPLE ST,10:15,800,VA,,,,,Curb Painted Yellow,n/a,800 MAPLE ST,67646,"(38.032281, -78.474727)"
15857,16858,00200288,2017-03-08T13:41:07.000Z,OAKHURST CIR,13:41,0,VA,,,,,Permit Zone w/o Permit,n/a,0 OAKHURST CIR,105877,"(38.0315245, -78.506655840625)"
15872,16873,00200303,2017-03-08T14:16:45.000Z,HINTON AVE,14:16,600,TN,,,,,LT Side to Curb,n/a,600 HINTON AVE,27002,"(38.0264, -78.4795359924637)"
15882,16883,00200315,2017-03-09T08:04:02.000Z,W MAIN ST,08:04,900,VA,,,,,Obstructing Traffic ,n/a,900 W MAIN ST,109545,"(38.03215995, -78.4944092104718)"
15895,16896,00200327,2017-03-09T10:59:20.000Z,11TH ST NE,10:59,300,VA,,,,,Handicapped Space,n/a,300 11TH ST NE,128561,"(38.029507, -78.471405)"
364540,364541,87891022,2017-03-10T00:00:00.000Z,2ND ST SW,15:07,108,NC,,,,,Handicapped Space,n/a,108 2ND ST SW,17636,"(38.0305259, -78.482392)"
362185,362186,87263018,2017-03-10T00:00:00.000Z,RAINIER RD,03:40,813,VA,,,,,No Parking any time,n/a,813 RAINIER RD,104047,"(38.02050695, -78.5065708442431)"
364631,364632,87937824,2017-03-11T00:00:00.000Z,RIDGE ST,03:23,880,VA,,,04/25/2017,04/25/2017,Obstructing Traffic ,granted,880 RIDGE ST,46791,"(38.01995135, -78.493257135849)"
355183,356184,86737118,2017-03-12T00:00:00.000Z,CHANCELLOR ST,23:06,136,VA,,,03/17/2017,03/20/2017,No Parking any time,denied,136 CHANCELLOR ST,110001,"(38.0370342684498, -78.5008473719274)"
364541,364542,87891422,2017-03-14T00:00:00.000Z,W MAIN ST,11:45,201,IN,,,,,Handicapped Space,n/a,201 W MAIN ST,8012,"(38.031274, -78.4822301192927)"
362597,362598,87337625,2017-03-14T00:00:00.000Z,GRADY AVE,16:45,1300,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,1300 GRADY AVE,103980,"(38.039764, -78.495458)"
340436,339437,85496322,2017-03-14T00:00:00.000Z,ANDERSON ST,19:19,914,VA,,,,,Handicapped Space,n/a,914 ANDERSON ST,108944,"(38.03616415, -78.4917367656011)"
16052,17053,00200502,2017-03-14T11:26:47.000Z,JEFFERSON PARK AVE,11:26,2100,VA,,,,,No Parking any time,n/a,2100 JEFFERSON PARK AVE,109575,"(38.0261147, -78.5134468437618)"
363244,363245,87500712,2017-03-15T00:00:00.000Z,DANBURY CT,17:13,2233,VA,,,,,15ft of Fire Hydrant,n/a,2233 DANBURY CT,109708,"(38.018708, -78.471195)"
362192,362193,87263705,2017-03-15T00:00:00.000Z,SHAMROCK RD,04:00,128,VA,,,,,LT Side to Curb,n/a,128 SHAMROCK RD,108794,"(38.02935965, -78.5126030358038)"
